ERT,SIRT,MIRT
43.6755,38.3237,31.857
43.867,38.4856,32.480901
44.034701,38.6129,33.576399
44.211,38.7442,34.092201
44.3861,42.5459,34.5953
45.3839,42.708099,35.1006
45.606099,42.8606,35.7102
45.821199,42.9984,36.9323
46.0662,43.1486,37.256099
48.651899,43.2958,37.922701
6.8176,20.6702,32.2198
21.7813,20.633599,32.3895
21.6907,20.5971,32.607
21.605899,20.5276,32.7524
21.528101,20.497601,32.915699
21.3908,20.4805,33.080701
21.142901,20.453599,33.274
20.9825,20.4304,34.1241
20.862,32.0278,34.3403
20.7474,32.0236,34.4819
13.203399,44.768301,44.7544
46.1392,44.7175,44.9783
45.8387,44.685,45.2208
45.599201,44.6608,45.4019
45.4441,44.639699,45.5757
45.294499,44.633099,45.739699
45.1902,44.6151,45.992
45.1045,44.592301,47.3231
44.9921,44.6287,47.482401
44.887,44.6119,47.619001
11.351201,17.9214,17.8704
18.607299,17.8949,18.0022
18.5202,17.870801,18.4888
18.885599,17.8357,18.8149
18.821101,17.6728,18.898
18.7426,17.6452,18.973999
18.2599,17.609001,19.1536
18.1481,17.5814,19.2471
18.0578,17.6225,26.740399
17.973801,17.674301,26.8468
12.1759,35.6883,35.4424
36.472701,35.554,35.5221
36.3798,35.5156,35.613199
36.2976,35.4866,35.6975
36.2192,35.4641,35.714899
36.1282,35.4425,35.895599
36.028901,35.4129,35.992
35.9201,35.3823,36.0747
35.8239,35.3946,36.159401
35.7426,35.3676,37.530001
12.493399,21.771699,34.8371
22.6865,21.7314,35.7195
22.5452,21.7016,35.787
22.4551,21.6722,35.8787
22.375299,22.022699,36.6156
22.294501,22.010099,36.7257
22.1733,21.9763,36.7764
22.055601,21.9442,36.8511
21.9445,34.716601,36.902701
21.842501,34.6969,37.2278
26.2543,25.109501,44.575
26.03,25.0711,44.8112
25.9342,25.038001,45.132001
25.852301,25.006601,45.191101
25.7748,24.9758,45.2541
25.6968,24.9495,45.3929
25.6205,24.9202,45.4568
25.5455,24.8915,47.800599
25.3523,44.526,47.853299
25.1909,44.5047,47.900801
7.7999,22.2348,36.1318
23.0226,22.1643,36.170701
22.8837,22.1298,36.2642
22.750599,22.100399,36.289801
22.6181,22.0719,36.3094
22.5113,22.045099,36.339801
22.4103,22.0127,36.3693
22.317999,23.2502,36.3884
22.5994,34.847,36.4173
22.4821,35.9945,36.4438
7.533201,19.432,32.250499
20.365899,19.390901,32.385401
20.2733,19.3565,32.4129
20.191201,19.375401,32.4208
20.0613,19.344299,32.4663
19.834401,19.3115,32.514999
19.7748,19.2763,32.5783
19.7018,19.2432,32.605499
19.599299,31.687901,32.6516
19.504401,31.6658,32.676199
8.0934,21.2772,37.1807
23.053801,21.247799,37.253599
22.907999,21.2204,37.4055
22.7036,21.1874,37.6349
21.8287,21.156,37.843901
21.7185,21.125801,38.1013
21.623601,21.0897,38.1295
21.5324,21.0563,38.444
21.438999,36.9523,38.8541
21.3474,36.9316,38.879799
16.790999,42.3524,42.0965
43.1354,42.3142,42.1681
43.0063,42.2773,42.369299
42.9219,42.2447,42.3834
