ERT,SIRT,MIRT
28.548699,41.3537,57.037699
29.371001,44.5423,57.1042
32.773,51.9118,57.6896
30.5298,54.323,57.7579
31.5615,56.2272,58.2709
35.764801,56.291499,58.2738
36.692,56.4431,58.7949
37.480999,56.7166,60.936101
38.174401,56.6884,60.9989
40.322299,56.742,61.1761
22.9908,33.6923,52.324101
24.061301,43.799299,54.157399
24.3689,45.562201,60.753601
27.1395,46.7556,62.0731
29.6014,48.570699,63.5645
33.527199,49.148801,65.2162
34.4205,50.593401,65.959401
36.375399,51.565901,66.431699
37.175201,55.261701,69.2891
39.319001,57.092401,69.4228
20.0249,42.6439,45.701201
20.0846,42.871101,45.7778
23.483001,42.9539,45.8531
26.706499,43.065,46.398099
28.780499,43.1471,46.5456
28.9101,45.6925,46.6126
30.6552,45.8418,46.6761
33.5877,46.3346,46.591099
33.7328,47.8557,47.032
37.1764,47.8506,47.347701
19.046,32.7818,49.5235
20.975101,34.392,52.053
21.1014,35.8811,52.6437
25.3997,37.0409,54.2757
27.4066,38.198501,55.5291
28.317,38.8786,56.7141
30.1604,40.338799,57.5061
30.6461,41.3126,58.4517
30.921199,49.0932,60.803801
32.3036,51.186099,61.36
20.5057,39.5774,48.4297
25.161,42.1911,51.0142
25.2302,42.3283,52.919199
26.9036,44.0509,53.0748
27.0247,44.1768,54.114301
28.290399,46.8536,54.1392
34.4838,47.139501,56.1633
35.8094,47.7802,56.8719
36.9272,50.1748,57.258701
38.175599,52.7405,60.453799
21.556801,36.9892,46.997199
22.7965,37.896701,48.705699
24.0541,38.7338,50.1154
25.8646,40.7316,50.497899
28.5554,42.731101,51.8752
28.6977,42.967,53.084201
29.0618,43.771101,53.192401
30.2504,45.415599,53.234899
34.6708,45.4641,60.8572
36.1039,48.8649,60.984
20.118,34.0822,43.639599
20.1319,34.4348,53.0285
20.1647,36.2232,53.1224
23.414401,36.3291,53.1587
23.4614,41.7045,55.0899
24.699001,41.795599,56.4547
28.953499,41.884,57.8724
30.4788,41.9216,59.5615
32.6134,41.925601,60.0378
32.8085,42.790499,60.0791
32.4033,36.4007,121.6229
32.432799,40.163601,121.866199
32.4487,42.777699,125.8986
32.575999,51.3729,125.994799
32.5947,51.370299,126.1994
32.6134,58.639301,129.848
32.627699,58.754201,138.3766
34.1871,58.793901,141.598601
34.280001,58.9119,153.084
40.427899,111.5771,153.2548
51.4351,61.5318,70.988201
52.5547,65.3474,71.6949
55.374401,65.924301,72.3068
55.546201,68.0496,88.0423
55.4642,68.1279,88.1267
55.488901,69.348401,90.295899
55.768099,69.412301,90.378801
56.0862,70.312401,90.455599
61.155201,72.1254,91.087299
61.4237,73.3515,91.1633
19.3991,36.7139,47.463699
19.3572,41.9055,50.1672
22.193499,41.8797,50.3955
22.3475,41.9481,53.1355
25.6699,41.965301,54.5808
26.962399,44.1792,54.651
27.9754,45.2965,54.680901
29.2951,45.3795,56.167201
29.841199,59.3726,58.4157
33.41,59.3893,58.4868
19.246,35.4628,54.251201
21.484199,36.1518,54.523
22.9077,38.480301,55.0929
23.458199,39.236399,56.2868
25.525799,40.917,57.570299
31.6389,43.4768,60.2856
32.853999,44.401301,60.356599
34.730001,46.7772,60.2754
49.0692,47.996701,60.634
50.384,54.2365,61.9425
19.380601,32.407799,47.7333
22.996599,39.8379,49.2391
23.278799,45.544599,49.3084
24.988201,47.119099,51.5206
25.5626,47.205201,54.332099
27.990799,47.1291,54.497199
28.673101,47.2323,54.6973
29.6492,47.4416,54.5638
31.124999,47.3171,55.0391
33.7086,47.8023,55.341901
18.4483,32.6979,47.6401
18.538101,34.2547,48.4677
19.7033,39.872999,48.541099
21.064,41.1343,49.7073
22.890099,42.019599,53.9854
24.0445,47.552499,54.0056
26.683801,47.576299,54.022901
26.7584,47.537701,54.0404
30.7043,55.073599,55.258999
32.674501,55.0941,55.3823
15.856199,32.9305,46.9443
18.8265,34.2419,54.418199
21.449399,34.8103,57.395801
22.3026,36.797499,57.464701
24.3269,37.9284,57.476899
28.5975,39.264299,65.417301
30.0957,40.4833,65.644299
32.368601,41.832201,65.5233
35.845301,45.0156,65.639
46.5967,45.125001,65.611201
15.8985,32.3374,48.319
18.346201,34.093799,50.560099
18.402701,39.425099,51.1661
19.641099,39.450601,52.5159
21.738501,40.9093,53.833099
24.1173,42.2218,55.8268
24.249801,44.1194,55.8921
29.4795,44.999701,58.854
29.722001,46.4111,59.0197
31.6324,47.892599,59.034
24.8688,43.4664,57.645601
25.6264,45.2076,57.7843
28.4099,45.9752,57.7939
28.4718,47.5243,59.418101
31.977701,49.4792,64.2615
32.0615,50.6321,66.062799
32.0755,51.8354,68.649
32.170999,54.8807,68.7186
34.5591,58.2233,68.681901
36.817801,60.0836,68.794201
22.7784,37.8158,47.1374
22.558601,37.792899,47.1507
22.804799,40.0499,48.478499
25.214701,43.669,51.8603
25.4219,45.8274,54.095501
25.3403,45.8592,54.990201
28.729001,45.9236,55.0408
30.752099,47.071999,55.6091
32.9477,47.757299,56.381999
35.0561,51.030301,57.579601
19.4152,32.422401,39.8233
19.393001,32.4446,39.840701
20.312301,32.4661,41.0222
22.0374,33.414401,42.2345
23.9358,39.735799,42.259201
24.015,39.8609,42.4289
32.196101,39.881299,43.5709
32.2632,39.8009,43.5979
32.3353,47.4073,44.717599
32.4963,48.8271,44.7384
13.936599,20.042599,29.639799
14.693201,24.8052,29.7777
17.2741,24.9855,32.1537
19.578299,25.703,32.169501
19.6475,25.677301,32.280199
19.6579,25.8465,32.784501
19.5677,26.553799,33.6434
19.731,26.7805,36.4914
19.9732,28.8614,36.705499
24.8989,29.8655,36.625799
17.597099,33.0925,46.7037
18.3441,34.0382,47.3869
19.5538,35.2568,48.550399
24.7403,36.1187,50.6789
24.916401,38.2546,50.7457
31.1529,38.2744,51.4734
31.2526,38.9369,51.5397
32.643601,42.529,55.713001
40.818399,43.981,59.6277
41.7031,44.8048,61.808999
20.0119,37.3584,60.540199
21.9561,45.8518,60.688701
22.032899,45.9307,60.9132
24.0852,46.2047,60.9352
26.509099,46.2791,65.6304
31.9915,60.6684,67.2679
32.1678,60.530301,78.6985
33.8928,60.5274,78.9316
33.9615,70.1072,78.9557
37.5669,79.468,78.972199
20.1539,43.8132,62.003999
21.1761,43.8295,62.4859
22.8986,46.940601,62.4984
24.2882,47.1143,62.5099
27.2161,47.2025,62.5224
35.005101,59.334199,62.8037
35.414401,62.5485,64.0103
35.431,62.4699,64.0855
43.6921,69.3121,64.1025
43.7691,85.3488,68.6124
26.399301,41.731901,82.4635
26.5747,44.019101,84.1586
28.857501,51.2475,84.2555
28.9617,51.313901,84.2741
29.6615,53.1337,84.199499
30.5348,55.5876,120.5418
33.539601,58.040301,125.1356
38.018001,70.723101,133.580201
41.441001,70.8051,137.8761
41.6692,82.384,148.391799
26.1514,44.0066,62.3937
26.917699,44.174901,62.4249
26.8683,44.19,69.6785
29.425401,47.4743,70.2679
31.4381,51.4385,72.774
31.4507,54.0896,90.8495
31.5149,54.1585,90.7925
32.239399,57.043499,91.000299
41.920399,59.772499,91.028299
42.139999,62.2738,95.921
23.545901,31.148799,35.6557
23.4465,31.417399,37.0222
27.171199,31.3326,38.840499
27.063599,31.3507,49.231701
27.4253,35.4109,49.4145
27.5664,35.3942,46.2037
27.5847,35.4493,46.2107
27.6007,35.5628,51.160799
27.746799,35.5333,48.1801
31.197899,35.681501,48.127399
18.668099,27.1232,38.285301
19.3048,30.872999,38.418501
19.7526,30.9453,37.786099
23.331801,30.8783,39.8545
23.431199,37.9073,39.8838
24.0013,38.102001,39.9821
23.897201,38.1176,39.9127
27.125599,38.134101,44.8875
27.200601,38.2435,45.087001
27.2203,38.421599,45.150099
28.718401,43.0779,59.231001
29.955301,43.074201,61.764601
30.347,43.6187,62.2741
31.0354,44.842501,64.1583
31.113999,52.9423,69.4138
35.973801,52.9287,69.869699
36.049099,52.957199,69.9157
42.0004,56.8931,69.9414
42.0882,57.2703,70.4168
43.011901,59.9656,70.5753
25.4316,35.828,56.2281
25.3775,36.5481,56.7647
28.162501,38.657499,56.984599
28.1528,39.459699,57.2598
28.6855,38.7492,58.4474
29.456101,48.2358,59.6318
29.5615,49.8642,59.7248
35.2544,50.426701,60.6847
35.622199,55.4804,62.284701
36.933099,55.558101,66.679
25.8794,37.774499,56.3928
26.9172,37.873899,56.6364
30.017601,37.9005,57.430501
31.113901,37.919999,58.2933
31.949101,46.577,59.689799
32.7379,50.8056,59.702801
33.1771,50.8825,60.253901
33.952801,51.6158,61.063
38.3217,54.577,61.2917
51.389099,54.615499,61.767401
25.305701,44.8424,58.018199
26.807099,45.5412,59.6141
27.802799,45.537301,60.897999
27.7918,47.497399,61.8505
33.0785,49.469901,65.4319
33.3558,50.3435,66.0419
33.265401,50.4126,67.0556
33.2887,54.0509,68.8994
34.1944,54.125799,69.586201
41.9604,58.167801,71.880001
25.4785,30.808101,51.7124
25.8655,30.768099,60.0908
25.918,37.6292,61.168999
26.7396,41.7018,62.1072
28.1161,42.8069,62.9036
30.7003,43.7009,63.0406
30.7708,43.8476,64.907101
30.7889,45.5246,65.672801
39.152901,46.4784,68.597
44.4481,60.092001,68.757299
25.021,43.089901,57.6971
26.1999,43.790699,57.845199
29.3898,45.023001,58.327699
31.811,47.2987,58.2784
31.8401,49.6731,58.373
33.4115,50.265899,59.9493
33.8779,54.2494,60.6958
42.48,57.6503,61.3768
43.0552,57.7548,61.920601
45.879399,57.7749,62.652999
25.2259,45.6137,59.127
30.942901,46.219801,72.5417
30.997599,47.0086,73.1305
31.0061,47.859301,73.2577
31.0866,50.151,73.3107
37.5164,50.1823,74.269301
42.081099,52.7155,74.715301
42.682401,52.855799,76.1107
44.141299,58.7295,79.9428
44.9603,71.927101,80.4921
32.5916,42.340901,63.578399
32.5832,43.1762,63.6509
35.4761,44.0686,63.633
36.2899,44.135399,64.297801
37.9777,44.792499,65.086999
39.093899,54.2044,69.1493
39.132399,56.0868,68.7129
40.7693,57.5844,69.048199
41.4372,58.3041,78.1744
42.251501,62.1069,78.2599
27.764,37.9643,52.340501
27.664299,39.059,64.574099
29.1642,43.154699,66.9643
29.906199,44.491299,67.0145
31.6052,45.1123,67.032
34.254401,45.176599,68.5083
34.322,47.7612,68.6445
36.0098,48.6428,68.6025
36.0322,50.972999,68.738799
36.8682,52.2456,69.4493
25.6397,35.5367,43.313599
28.086001,35.568501,53.5185
28.2145,37.1801,58.6036
28.267199,38.040601,60.267099
28.2611,41.4893,60.408401
30.0103,41.558901,61.800399
32.525299,43.442599,62.3696
34.0894,53.387101,65.6123
34.2318,61.9624,65.790501
34.203501,61.952999,66.9636
31.221999,42.6423,60.9982
