ERT,SIRT,MIRT
67.35310100000001,90.6814,140.074199
70.802001,92.5023,140.7861
67.8181,95.1484,142.0662
67.8947,101.167099,144.948101
69.724099,106.9383,145.3084
73.4866,107.7923,146.830599
73.75569899999999,108.708799,147.8044
75.862,109.5695,148.4965
91.805801,112.3589,149.873601
99.8306,147.1829,150.1901
34.607001,58.174399,64.4016
35.7511,59.3577,69.09949900000001
36.4755,59.2029,69.7526
37.5173,59.7331,71.19669999999999
40.2751,60.3075,73.00540000000001
62.9106,60.9545,75.0778
64.345,63.183401,75.547299
64.79679999999999,63.7154,76.0005
65.8072,65.869399,76.939301
66.258701,70.7442,78.496201
10.567599000000001,84.1335,88.9096
11.510100000000001,88.984799,89.4443
49.2101,91.068501,89.7008
51.3504,93.4066,91.413099
51.9405,93.8592,92.37339899999999
52.8768,94.840599,93.758701
91.4807,96.1939,94.4855
93.20299999999999,96.6764,94.7433
93.7398,108.2003,95.0092
14.2691,109.829001,101.55799999999999
18.186698999999997,63.036699,118.3722
18.506301,63.810201,118.8006
45.976501,64.8698,118.98700000000001
47.883,66.4311,119.7248
116.8657,122.6356,119.859999
117.0385,123.79899999999999,120.9784
117.461701,125.4587,121.1414
318.405101,125.7345,121.3045
118.081701,125.985299,123.867
118.2671,363.90210099999996,273.9352
150.3649,226.1007,274.1055
152.1667,226.213901,274.573099
157.639999,278.2163,274.6823
157.8354,278.4115,274.889499
273.33049900000003,278.65050099999996,274.9886
302.9864,279.0155,275.6992
303.084501,279.1374,276.426401
303.2697,281.8986,514.5453
389.852901,479.8087,390.4633
211.6384,481.4079,472.75909900000005
211.9032,148.1068,219.604601
212.2856,149.0335,219.90049900000002
213.2514,349.50299900000005,220.0915
467.834,352.8114,478.8064
309.669599,355.69260099999997,480.533
309.770799,158.2001,480.6953
310.283601,160.48,482.9454
114.991199,162.195101,483.05309900000003
122.7738,162.885201,483.141501
124.565299,165.7308,483.2271
329.4567,166.0423,483.3732
130.579,423.9547,485.0184
131.74509999999998,226.6257,485.6215
131.8793,428.7227,313.914
132.752501,431.824701,315.977801
132.724901,432.282399,317.0427
132.821,432.899501,319.298701
133.4607,471.5548,321.077001
478.7694,471.9977,323.134699
479.9515,143.87120099999999,324.81600099999997
122.2295,144.48399999999998,151.625599
126.3626,145.16559999999998,152.1752
127.0587,146.284801,152.9335
127.4406,146.855301,153.5216
128.1586,147.464099,156.2558
139.8684,148.1388,188.947
140.1413,151.5896,189.4311
141.406601,152.1817,197.7197
143.6865,157.8389,198.015199
144.0163,39.848600000000005,60.067301
19.7952,40.7594,60.259601
21.4629,42.6958,60.872199
22.8998,44.709901,61.1277
22.969499,46.272699,62.919701
24.456,50.2392,64.8691
37.784399,50.3481,68.1705
39.006001,56.502001,69.06309999999999
39.237401,74.346599,69.30279999999999
39.5682,75.27080000000001,69.700501
40.1904,536.095,113.6403
12.715,112.856599,115.627199
43.6965,113.8207,116.605599
96.2792,114.8074,118.451599
96.5214,115.2585,119.464
116.0033,116.7776,520.5358
116.2574,117.2193,120.119199
116.5202,117.6779,120.2308
118.3568,118.168199,120.5235
118.620701,118.6256,124.972301
40.2447,121.373401,137.08530100000002
109.9047,183.2312,194.4264
110.602199,186.949301,194.7344
110.9449,187.6306,225.78579900000003
111.6736,190.710899,226.1109
223.045101,191.2916,226.2904
223.776799,191.9557,226.7363
224.1847,196.815301,226.9058
224.3552,197.4073,229.5321
224.5357,202.194999,242.0046
74.825999,97.8273,247.055999
75.795701,152.2386,247.409001
77.066701,153.6444,248.8598
77.615099,156.9518,249.9603
78.6804,159.1903,251.37400099999996
79.7629,161.430701,252.07609900000003
481.8091,162.236199,252.57369900000003
248.81840099999997,163.5249,252.7212
249.05799900000002,468.1989,252.9006
249.4526,106.3375,254.50249900000003
249.6411,107.606699,604.059799
85.678901,108.4577,207.5475
86.7685,111.097499,207.5054
88.449101,112.018801,207.5328
89.186,168.2407,207.558101
91.869,168.6863,190.9168
200.8846,215.546599,191.1318
200.943901,215.595,191.435599
200.9759,454.65319900000003,191.5806
201.2295,471.315799,191.675399
94.6479,113.6972,191.903999
96.0081,114.565699,192.17499899999999
96.6798,116.4917,192.44809899999998
97.1632,117.944,198.538599
98.9998,119.166099,198.7389
106.434001,198.3142,419.7636
106.954301,201.5581,433.584
108.8541,203.1513,433.8846
415.5778,203.5557,434.5403
60.9638,205.197501,87.8805
64.05080000000001,83.169199,90.2815
64.2872,83.9835,90.3226
65.182501,85.807699,90.5568
68.1013,87.822599,92.258901
68.346801,90.060799,92.5279
83.4188,493.0319,93.915399
83.5884,92.815599,93.9488
83.8483,94.27109899999999,94.0735
84.7449,94.5922,94.901401
12.4988,94.9046,496.65100099999995
13.971199,95.3563,523.580801
15.1799,37.961199,46.201501
19.326900000000002,38.444199,47.769901000000004
21.4226,42.459601,48.0983
51.761399,45.8481,49.448199
51.898601,46.9876,50.7022
52.081199,47.8388,51.049301
52.513001,48.2354,51.7623
53.076501,49.7672,55.149999
478.532599,50.8547,58.533701
493.657901,53.136899,69.2188
47.404801,67.968201,127.2633
49.3635,131.30540000000002,127.823799
49.956301,131.73579999999998,129.20929999999998
50.9201,132.1812,130.6018
51.9787,132.6772,130.98520000000002
129.6312,133.148,131.1302
129.808501,134.0907,131.4152
130.7618,134.5106,133.5664
131.3297,134.9514,136.705799
131.5909,45.069900000000004,197.535
22.762898999999997,45.903601,48.4012
26.1814,46.700899,78.3417
27.4379,48.593900000000005,85.137601
28.103001000000003,49.165200999999996,85.387201
28.4127,50.4275,85.6978
83.2599,51.5465,86.2466
84.1134,54.8695,86.5087
84.6668,55.7114,86.7663
84.9252,56.1632,91.7133
86.2975,422.1287,94.547399
67.82650000000001,87.2754,98.1248
68.19380100000001,88.536901,98.05
71.3264,89.1259,98.2364
71.6356,90.449301,100.425
72.6547,95.2953,100.6075
89.623799,95.8538,100.791
89.852699,99.4388,100.975699
91.8302,100.93910100000001,101.153999
92.0013,101.3024,102.068901
92.4196,102.5252,321.7606
18.9709,34.901399999999995,86.9506
19.229701,38.913801,87.071799
19.857799999999997,39.2134,87.5047
19.993901,39.544200000000004,125.505799
20.799101,39.850201,125.7437
123.4421,91.82180100000001,126.0002
124.01299999999999,92.0541,126.5538
124.5831,94.397101,130.071101
125.5685,94.8878,185.2931
125.8528,44.851600000000005,52.077801
16.4601,47.738599,52.571000000000005
18.017000000000003,49.137501,52.720499
21.2924,50.7675,53.5266
27.6878,51.196999999999996,53.6753
28.3037,55.1427,53.8291
52.550699,57.267699,55.3384
53.7078,58.146699,55.9491
55.5362,59.0364,63.7991
56.897,429.11800000000005,82.4769
58.0201,72.34960000000001,466.06630099999995
23.622,72.806201,124.604399
53.8464,73.3053,125.5499
57.1755,74.248301,126.113599
58.1385,128.7396,126.68910100000001
124.317299,129.1938,126.949799
124.5166,129.646099,127.209999
125.0832,131.42059999999998,130.6695
125.238399,131.7346,131.419401
125.393899,355.331801,135.9054
35.2505,53.8909,213.4681
36.0447,55.597,58.6978
36.7135,59.8221,59.450401
37.2614,63.6277,60.9247
38.3498,65.333399,61.4806
64.6663,65.376401,62.3363
65.1,65.5026,63.3938
66.657701,66.623399,64.725
67.330701,39.855001,65.434301
67.51010099999999,41.550799999999995,67.602
345.7341,43.058800000000005,72.959401
17.4491,44.326299,46.4398
21.334,44.7059,112.1015
21.3554,45.445,112.526901
21.595899,46.909800000000004,113.196299
24.3155,47.5873,113.3886
108.708999,49.166101,115.8915
109.520201,452.28199900000004,116.074601
109.763301,51.9359,116.2937
110.183299,359.7158,91.696199
110.6037,437.85480099999995,92.279099
50.817601,86.814999,93.3962
51.282799,88.4871,94.7133
52.246501,89.4501,96.4515
53.724699,91.9555,98.1244
54.312,93.702,99.940699
93.4568,95.2236,102.2876
95.938701,96.5879,104.9129
95.977,98.141801,106.293901
97.154,98.3082,385.1195
97.2166,99.6851,430.3652
25.4957,41.8241,55.7332
26.164998999999998,63.671201,55.7498
26.0074,63.717199,55.2097
26.1239,63.75899999999999,55.2662
26.4057,63.7412,55.7034
17.161801,64.5507,73.1777
22.856999,64.58600000000001,76.8754
27.130001,64.61349899999999,55.2358
31.7673,64.6465,60.954899
33.3558,64.6834,62.028499
92.2518,49.018,71.9902
103.1958,49.774100000000004,72.9195
103.3571,51.7301,76.0358
111.9565,54.103001,86.933599
112.682001,54.188099,91.330199
386.847701,54.816401,96.9601
396.617499,55.783398999999996,122.1631
399.988599,57.0605,391.2364
20.3417,59.0113,402.8278
20.9524,60.412,406.88549900000004
22.216299,72.8175,122.7544
24.5876,75.12899999999999,123.0109
25.117201,75.822001,152.126301
56.8911,76.997701,152.372099
463.8486,77.30239900000001,152.6187
64.40799899999999,162.6988,152.8925
65.1087,163.156,153.171201
65.30510000000001,163.6187,156.3734
29.3453,164.1065,156.6038
31.2931,50.897901,58.1089
32.420901,51.764799,59.231
33.3828,52.69,60.336601
35.238,54.0199,62.7133
46.380199,54.7824,65.1503
47.1324,57.366601,66.307001
48.0556,58.302501,67.345899
49.0325,58.7583,69.0286
50.0986,65.441501,69.928101
730.298999,72.539999,70.79339999999999
332.3313,438.373001,414.5
10.5616,41.03,50.0083
11.157801,41.567299,51.3639
12.4531,42.468900000000005,52.085401
24.2056,44.648199,52.855801
26.957501,50.941601,53.962599
31.7373,69.3463,55.2196
32.917301,70.405201,55.773599
33.6263,71.0056,57.625001
